Customer_ID,Customer_Name,Gender,City,State,Country,Continent,Signup_Date,Currency
C5000,Chloe Lam,Female,Sydney,NSW,Australia,Oceania,2021-10-15,AUD
C5001,Owen Cummings,Male,Toronto,Ontario,Canada,North America,2023-04-26,CAD
C5002,Charlotte Pereira,Female,Melbourne,VIC,Australia,Oceania,2020-10-04,AUD
C5003,Beatriz Lopez,Female,Rio de Janeiro,Rio de Janeiro,Brazil,South America,2019-11-03,BRL
C5004,Hao Smith,Male,Shanghai,Shanghai,China,Asia,2022-02-13,CNY
C5005,Nikhil Berry,Male,Chennai,Tamil Nadu,India,Asia,2023-03-31,INR
C5006,Ananya Guzman,Female,Chennai,Tamil Nadu,India,Asia,2023-12-25,INR
C5007,Bernardo Rice,Male,Sao Paulo,Sao Paulo,Brazil,South America,2024-01-06,BRL
C5008,Lucas Naidu,Male,Rio de Janeiro,Rio de Janeiro,Brazil,South America,2023-07-11,BRL
C5009,Cooper Hayes,Male,Melbourne,VIC,Australia,Oceania,2025-10-10,AUD
C5010,Amir Berg,Male,Singapore,Singapore,Singapore,Asia,2025-04-22,SGD
C5011,Olivia Macedo,Female,Toronto,Ontario,Canada,North America,2023-01-28,CAD
C5012,Neha Young,Female,Chennai,Tamil Nadu,India,Asia,2022-09-21,INR
C5013,Dana Powell,Female,Abu Dhabi,Abu Dhabi,UAE,Asia,2023-01-28,AED
C5014,George Ribeiro,Male,Manchester,England,UK,Europe,2019-01-09,GBP
C5015,Suren Washington,Male,Singapore,Singapore,Singapore,Asia,2024-11-08,SGD
C5016,James Matthews,Male,Manchester,England,UK,Europe,2024-07-09,GBP
C5017,Ethan Varma,Male,Vancouver,BC,Canada,North America,2020-03-14,CAD
C5018,Aarav Ribeiro,Male,Delhi,Delhi,India,Asia,2023-05-29,INR
C5019,Ananya Pacheco,Female,Delhi,Delhi,India,Asia,2020-03-17,INR
C5020,Liam Rodrigues,Male,Los Angeles,California,USA,North America,2025-08-08,USD
C5021,Samuel Hicks,Male,Sao Paulo,Sao Paulo,Brazil,South America,2024-08-27,BRL
C5022,Luiza Santos,Female,Rio de Janeiro,Rio de Janeiro,Brazil,South America,2019-07-18,BRL
C5023,Mia Kohli,Female,Munich,Bavaria,Germany,Europe,2020-12-26,EUR
C5024,Mayank Diaz,Male,Bengaluru,Karnataka,India,Asia,2020-02-29,INR
C5025,Aaliyah Moreira,Female,Abu Dhabi,Abu Dhabi,UAE,Asia,2024-08-26,AED
C5026,Lukas Coleman,Male,Munich,Bavaria,Germany,Europe,2023-06-18,EUR
C5027,Vivaan Morales,Male,Hyderabad,Telangana,India,Asia,2020-07-19,INR
C5028,Lily Kumar,Female,Vancouver,BC,Canada,North America,2022-05-09,CAD
C5029,Oliver Carter,Male,Melbourne,VIC,Australia,Oceania,2021-06-09,AUD
C5030,Lina Rivera,Female,Abu Dhabi,Abu Dhabi,UAE,Asia,2022-11-15,AED
C5031,Ananya Costa,Female,Mumbai,Maharashtra,India,Asia,2020-12-29,INR
C5032,Zoey Tripathi,Female,Vancouver,BC,Canada,North America,2020-04-17,CAD
C5033,Ruby Gomez,Female,Melbourne,VIC,Australia,Oceania,2025-05-26,AUD
C5034,Nora Gonzales,Female,Vancouver,BC,Canada,North America,2022-03-17,CAD
C5035,Jan Jordan,Male,Munich,Bavaria,Germany,Europe,2020-03-12,EUR
C5036,Aarav Reyes,Male,Mumbai,Maharashtra,India,Asia,2021-03-29,INR
C5037,Ananya Santos,Female,Bengaluru,Karnataka,India,Asia,2020-08-22,INR
C5038,Ella Jordan,Female,Vancouver,BC,Canada,North America,2021-04-15,CAD
C5039,Sara Kelly,Female,Los Angeles,California,USA,North America,2020-02-24,USD
C5040,Olivia Mendes,Female,Toronto,Ontario,Canada,North America,2021-07-07,CAD
C5041,Charlotte Washington,Female,Melbourne,VIC,Australia,Oceania,2024-09-23,AUD
C5042,Liam Flores,Male,Vancouver,BC,Canada,North America,2023-04-12,CAD
C5043,Owen Crawford,Male,Toronto,Ontario,Canada,North America,2019-08-09,CAD
C5044,Diya Ghosh,Female,Kolkata,West Bengal,India,Asia,2023-12-20,INR
C5045,Ling Stephens,Female,Singapore,Singapore,Singapore,Asia,2025-02-16,SGD
C5046,Aarav Chatterjee,Male,Delhi,Delhi,India,Asia,2022-04-19,INR
C5047,Abigail Carter,Female,Toronto,Ontario,Canada,North America,2020-12-12,CAD
C5048,Charlie Long,Male,Manchester,England,UK,Europe,2023-10-22,GBP
C5049,Myra Reddy,Female,Kolkata,West Bengal,India,Asia,2025-07-20,INR
C5050,Elijah Roy,Male,New York,New York,USA,North America,2020-09-26,USD
C5051,Lan Almeida,Female,Shanghai,Shanghai,China,Asia,2022-05-18,CNY
C5052,Sara Santos,Female,Dubai,Dubai,UAE,Asia,2019-10-26,AED
C5053,Lan Harris,Female,Shanghai,Shanghai,China,Asia,2021-01-23,CNY
C5054,Charlotte Moreira,Female,Sydney,NSW,Australia,Oceania,2025-02-02,AUD
C5055,Lily Gill,Female,London,England,UK,Europe,2021-05-23,GBP
C5056,Na Varma,Female,Shanghai,Shanghai,China,Asia,2021-06-13,CNY
C5057,Hala Warren,Female,Abu Dhabi,Abu Dhabi,UAE,Asia,2025-04-18,AED
C5058,Sean Martin,Male,Singapore,Singapore,Singapore,Asia,2022-11-18,SGD
C5059,Faiz Watkins,Male,Singapore,Singapore,Singapore,Asia,2022-08-07,SGD
C5060,Isla Alves,Female,Manchester,England,UK,Europe,2025-01-21,GBP
C5061,Sophia Young,Female,New York,New York,USA,North America,2023-03-16,USD
C5062,Hugo Cummings,Male,Sydney,NSW,Australia,Oceania,2019-06-29,AUD
C5063,Jing Gomez,Male,Singapore,Singapore,Singapore,Asia,2024-10-05,SGD
C5064,Jacob Sullivan,Male,Manchester,England,UK,Europe,2024-12-24,GBP
C5065,Evie Cooper,Female,London,England,UK,Europe,2021-05-23,GBP
C5066,Luisa Alves,Female,Munich,Bavaria,Germany,Europe,2025-01-11,EUR
C5067,Zoey Boyd,Female,San Francisco,California,USA,North America,2019-10-23,USD
C5068,Aditya Griffin,Male,Mumbai,Maharashtra,India,Asia,2022-09-20,INR
C5069,Mia Mendes,Female,London,England,UK,Europe,2021-10-28,GBP
C5070,Omar Jackson,Male,Dubai,Dubai,UAE,Asia,2021-11-25,AED
C5071,Lucas Willis,Male,Sao Paulo,Sao Paulo,Brazil,South America,2022-07-19,BRL
C5072,Grace Edwards,Female,Toronto,Ontario,Canada,North America,2019-01-25,CAD
C5073,Huda Parker,Female,Abu Dhabi,Abu Dhabi,UAE,Asia,2019-07-06,AED
C5074,James James,Male,London,England,UK,Europe,2020-03-10,GBP
C5075,Noah Sanchez,Male,Toronto,Ontario,Canada,North America,2019-12-21,CAD
C5076,Diego West,Male,Sao Paulo,Sao Paulo,Brazil,South America,2019-05-07,BRL
C5077,Zoe Harris,Female,Melbourne,VIC,Australia,Oceania,2023-05-21,AUD
C5078,Zach Teixeira,Male,Melbourne,VIC,Australia,Oceania,2020-08-13,AUD
C5079,Fiona Hernandez,Female,San Francisco,California,USA,North America,2019-02-15,USD
C5080,Noah Chopra,Male,Melbourne,VIC,Australia,Oceania,2019-06-21,AUD
C5081,Sara Chaudhary,Female,Abu Dhabi,Abu Dhabi,UAE,Asia,2025-02-20,AED
C5082,Aditya Hernandez,Male,Hyderabad,Telangana,India,Asia,2021-05-17,INR
C5083,Jun Snyder,Male,Singapore,Singapore,Singapore,Asia,2021-01-23,SGD
C5084,Rupa Ward,Female,Kolkata,West Bengal,India,Asia,2021-01-12,INR
C5085,Salem Taylor,Male,Dubai,Dubai,UAE,Asia,2025-02-26,AED
C5086,Noah Tucker,Male,Melbourne,VIC,Australia,Oceania,2019-10-03,AUD
C5087,Diya Stevens,Female,Delhi,Delhi,India,Asia,2024-06-18,INR
C5088,Hao Alexander,Male,Beijing,Beijing,China,Asia,2021-08-18,CNY
C5089,Hala Robinson,Female,Abu Dhabi,Abu Dhabi,UAE,Asia,2022-07-25,AED
C5090,Ming Mitchell,Male,Shanghai,Shanghai,China,Asia,2025-07-20,CNY
C5091,Ali Sharma,Male,Dubai,Dubai,UAE,Asia,2023-10-21,AED
C5092,Li Garcia,Male,Shanghai,Shanghai,China,Asia,2023-11-22,CNY
C5093,Li Barros,Male,Beijing,Beijing,China,Asia,2024-05-19,CNY
C5094,Jun Cummings,Male,Beijing,Beijing,China,Asia,2025-03-09,CNY
C5095,Sonia Diaz,Female,Singapore,Singapore,Singapore,Asia,2020-07-27,SGD
C5096,Aadhya Carvalho,Female,Delhi,Delhi,India,Asia,2019-11-10,INR
C5097,Mia Sanders,Female,New York,New York,USA,North America,2019-05-08,USD
C5098,Noor Alexander,Female,Dubai,Dubai,UAE,Asia,2021-05-21,AED
C5099,Noah Robertson,Male,Melbourne,VIC,Australia,Oceania,2025-01-19,AUD
C5100,Liam Khan,Male,Boston,Massachusetts,USA,North America,2023-05-27,USD
C5101,Elijah Crawford,Male,Boston,Massachusetts,USA,North America,2020-07-02,USD
C5102,Amelia Mendez,Female,Sydney,NSW,Australia,Oceania,2023-01-30,AUD
C5103,Mia Pereira,Female,Toronto,Ontario,Canada,North America,2020-11-10,CAD
C5104,Ananya Kelly,Female,Mumbai,Maharashtra,India,Asia,2021-01-03,INR
C5105,Aaliyah Patel,Female,Dubai,Dubai,UAE,Asia,2024-06-03,AED
C5106,Elijah Long,Male,Los Angeles,California,USA,North America,2021-08-07,USD
C5107,Fang Morgan,Female,Beijing,Beijing,China,Asia,2021-04-26,CNY
C5108,Lan Duncan,Female,Beijing,Beijing,China,Asia,2024-02-06,CNY
C5109,Sophia Silva,Female,Los Angeles,California,USA,North America,2020-02-27,USD
C5110,Ella Snyder,Female,Sydney,NSW,Australia,Oceania,2025-06-28,AUD
C5111,Aarav Alves,Male,Bengaluru,Karnataka,India,Asia,2023-03-31,INR
C5112,Ravi Iyer,Male,Singapore,Singapore,Singapore,Asia,2021-10-27,SGD
C5113,Diya Guzman,Female,Chennai,Tamil Nadu,India,Asia,2022-12-16,INR
C5114,Li Morgan,Male,Beijing,Beijing,China,Asia,2025-10-10,CNY
C5115,Aditya Graham,Male,Mumbai,Maharashtra,India,Asia,2021-07-31,INR
C5116,Kai Morales,Male,Singapore,Singapore,Singapore,Asia,2020-09-07,SGD
C5117,Ming Berg,Male,Beijing,Beijing,China,Asia,2021-08-01,CNY
C5118,Hao Bell,Male,Shanghai,Shanghai,China,Asia,2024-05-15,CNY
C5119,Hamad Willis,Male,Dubai,Dubai,UAE,Asia,2023-08-11,AED
C5120,Julian Souza,Male,Los Angeles,California,USA,North America,2025-08-23,USD
C5121,Ming Powell,Male,Singapore,Singapore,Singapore,Asia,2020-08-24,SGD
C5122,Hina Wallace,Female,Kolkata,West Bengal,India,Asia,2024-10-17,INR
C5123,Ruba Ortega,Female,Abu Dhabi,Abu Dhabi,UAE,Asia,2019-03-18,AED
C5124,Oliver Cole,Male,San Francisco,California,USA,North America,2019-12-18,USD
C5125,Salem Willis,Male,Abu Dhabi,Abu Dhabi,UAE,Asia,2020-11-29,AED
C5126,Anna Cruz,Female,Munich,Bavaria,Germany,Europe,2021-01-14,EUR
C5127,Ruby Moreira,Female,Sydney,NSW,Australia,Oceania,2022-11-04,AUD
C5128,Yousef Kennedy,Male,Abu Dhabi,Abu Dhabi,UAE,Asia,2021-07-30,AED
C5129,Ananya Mukherjee,Female,Mumbai,Maharashtra,India,Asia,2021-04-08,INR
C5130,Oliver Diaz,Male,Sydney,NSW,Australia,Oceania,2025-10-16,AUD
C5131,Beatriz Snyder,Female,Rio de Janeiro,Rio de Janeiro,Brazil,South America,2024-08-23,BRL
C5132,Poppy Bell,Female,London,England,UK,Europe,2025-10-07,GBP
C5133,Ava Evans,Female,New York,New York,USA,North America,2023-11-03,USD
C5134,Lei Hamilton,Male,Beijing,Beijing,China,Asia,2023-10-24,CNY
C5135,Luana Alvarez,Female,Rio de Janeiro,Rio de Janeiro,Brazil,South America,2025-08-09,BRL
C5136,Oliver Price,Male,Boston,Massachusetts,USA,North America,2020-02-05,USD
C5137,Aditya Freeman,Male,Kolkata,West Bengal,India,Asia,2019-12-10,INR
C5138,Zach Barnes,Male,Melbourne,VIC,Australia,Oceania,2021-02-13,AUD
C5139,Charlotte Boyd,Female,San Francisco,California,USA,North America,2025-06-25,USD
C5140,Amelia Hughes,Female,Sydney,NSW,Australia,Oceania,2021-04-21,AUD
C5141,Ming Kohli,Male,Shanghai,Shanghai,China,Asia,2020-03-12,CNY
C5142,Wei Varma,Male,Singapore,Singapore,Singapore,Asia,2025-01-04,SGD
C5143,Wei Parker,Female,Beijing,Beijing,China,Asia,2023-06-16,CNY
C5144,Emilia Adams,Female,Munich,Bavaria,Germany,Europe,2023-02-25,EUR
C5145,Pedro Cook,Male,Rio de Janeiro,Rio de Janeiro,Brazil,South America,2025-06-24,BRL
C5146,Chloe Turner,Female,Vancouver,BC,Canada,North America,2020-05-02,CAD
C5147,Laura deSouza,Female,Sao Paulo,Sao Paulo,Brazil,South America,2021-05-28,BRL
C5148,Jian Mitchell,Male,Shanghai,Shanghai,China,Asia,2019-08-02,CNY
C5149,Ravi Ortega,Male,Singapore,Singapore,Singapore,Asia,2020-08-18,SGD
C5150,Omar Watson,Male,Abu Dhabi,Abu Dhabi,UAE,Asia,2019-09-20,AED
C5151,Yue Price,Female,Beijing,Beijing,China,Asia,2019-06-04,CNY
C5152,Lina Shaw,Female,Berlin,Berlin,Germany,Europe,2019-08-24,EUR
